year,month,temp,temp_source,tmin,tmin_source,tmax,tmax_source,txmn,txmn_source,txmx,txmx_source,prcp,prcp_source,pres,pres_source
1943,9,20.2,isd_lite,13.3,isd_lite,30.0,isd_lite,10.0,isd_lite,38.9,isd_lite,,,1011.7,isd_lite
1943,10,16.3,isd_lite,10.3,isd_lite,23.8,isd_lite,3.3,isd_lite,35.0,isd_lite,,,1014.0,isd_lite
1943,11,12.1,isd_lite,5.7,isd_lite,20.0,isd_lite,0.6,isd_lite,25.5,isd_lite,,,1019.8,isd_lite
1943,12,9.0,isd_lite,4.3,isd_lite,14.8,isd_lite,-1.1,isd_lite,22.8,isd_lite,,,1019.4,isd_lite
1944,1,7.9,isd_lite,3.6,isd_lite,13.1,isd_lite,-1.1,isd_lite,19.4,isd_lite,,,1020.7,isd_lite
1944,2,9.3,isd_lite,5.0,isd_lite,14.0,isd_lite,0.6,isd_lite,17.8,isd_lite,,,1016.1,isd_lite
1944,3,12.7,isd_lite,6.7,isd_lite,19.4,isd_lite,1.7,isd_lite,26.1,isd_lite,,,1018.8,isd_lite
1944,4,12.3,isd_lite,7.4,isd_lite,18.1,isd_lite,2.2,isd_lite,23.9,isd_lite,,,1016.5,isd_lite
1944,5,16.2,isd_lite,10.2,isd_lite,23.2,isd_lite,7.2,isd_lite,32.2,isd_lite,,,1014.4,isd_lite
1944,6,17.5,isd_lite,11.9,isd_lite,24.5,isd_lite,7.8,isd_lite,35.0,isd_lite,,,1011.7,isd_lite
1944,7,18.2,isd_lite,12.7,isd_lite,26.3,isd_lite,11.1,isd_lite,33.3,isd_lite,,,1012.7,isd_lite
1944,8,20.1,isd_lite,13.2,isd_lite,29.7,isd_lite,11.1,isd_lite,41.1,isd_lite,,,1011.2,isd_lite
1944,9,21.2,isd_lite,13.6,isd_lite,31.1,isd_lite,10.0,isd_lite,42.2,isd_lite,,,1010.8,isd_lite
1944,10,17.6,isd_lite,11.5,isd_lite,25.3,isd_lite,9.4,isd_lite,31.1,isd_lite,,,1015.9,isd_lite
